timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:22:00Z,11.84,20.0,0.19,0.33
2026-06-01T00:22:30Z,25.54,27.4,0.37,0.05
2026-06-01T00:23:00Z,23.35,20.0,0.76,0.77
2026-06-01T00:23:30Z,26.86,38.4,0.18,0.52
2026-06-01T00:24:00Z,33.22,54.1,0.57,0.46
2026-06-01T00:24:30Z,17.45,59.1,0.12,0.81
2026-06-01T00:25:00Z,21.2,61.7,0.32,0.87
2026-06-01T00:25:30Z,23.74,47.0,0.4,0.42
2026-06-01T00:26:00Z,23.64,49.3,0.55,0.6
2026-06-01T00:26:30Z,22.93,20.0,0.76,0.22
2026-06-01T00:27:00Z,18.66,53.8,0.49,0.54
2026-06-01T00:27:30Z,20.24,46.3,0.51,0.82
2026-06-01T00:28:00Z,23.48,48.3,0.52,0.65
2026-06-01T00:28:30Z,30.27,40.3,0.71,0.23
2026-06-01T00:29:00Z,21.24,20.0,0.76,0.85
2026-06-01T00:29:30Z,25.06,44.4,0.6,0.54
2026-06-01T00:30:00Z,22.7,44.3,0.23,0.61
2026-06-01T00:30:30Z,24.89,50.4,0.17,0.64
2026-06-01T00:31:00Z,28.78,20.0,0.68,0.84
2026-06-01T00:31:30Z,22.59,60.3,0.31,0.93
2026-06-01T00:32:00Z,24.65,44.6,0.11,0.47
2026-06-01T00:32:30Z,19.47,49.2,0.03,0.42
2026-06-01T00:33:00Z,22.81,30.3,0.23,0.0
2026-06-01T00:33:30Z,15.6,61.6,0.51,0.86
2026-06-01T00:34:00Z,18.53,61.7,0.51,0.11
2026-06-01T00:34:30Z,20.22,45.4,0.02,0.06
2026-06-01T00:35:00Z,20.07,44.2,0.45,0.17
2026-06-01T00:35:30Z,20.96,70.2,0.23,0.6
2026-06-01T00:36:00Z,17.25,46.5,0.08,0.53
2026-06-01T00:36:30Z,24.76,25.4,0.15,0.46
2026-06-01T00:37:00Z,26.5,54.7,0.59,0.13
2026-06-01T00:37:30Z,30.01,51.1,0.26,0.05
2026-06-01T00:38:00Z,18.1,20.0,0.61,0.25
2026-06-01T00:38:30Z,23.62,59.5,0.22,0.99
2026-06-01T00:39:00Z,23.41,28.9,0.56,0.76
2026-06-01T00:39:30Z,17.26,20.0,0.48,0.96
2026-06-01T00:40:00Z,28.48,32.2,0.12,0.2
2026-06-01T00:40:30Z,21.05,52.4,0.12,0.07
2026-06-01T00:41:00Z,28.4,57.3,0.44,0.86
2026-06-01T00:41:30Z,25.23,20.0,0.69,0.79
2026-06-01T00:42:00Z,20.54,49.1,0.47,0.79
2026-06-01T00:42:30Z,28.17,40.4,0.26,0.08
2026-06-01T00:43:00Z,24.05,32.3,0.5,0.76
2026-06-01T00:43:30Z,29.14,29.8,0.52,0.48
2026-06-01T00:44:00Z,24.85,34.8,0.17,0.58
2026-06-01T00:44:30Z,22.46,49.3,0.72,0.34
2026-06-01T00:45:00Z,27.7,43.4,0.1,0.96
2026-06-01T00:45:30Z,20.17,44.8,0.4,0.79
2026-06-01T00:46:00Z,15.79,34.8,0.0,0.21
2026-06-01T00:46:30Z,29.08,44.7,0.42,0.91
2026-06-01T00:47:00Z,22.7,41.9,0.71,0.52
2026-06-01T00:47:30Z,22.08,41.5,0.12,0.06
2026-06-01T00:48:00Z,21.24,20.0,0.12,0.9
2026-06-01T00:48:30Z,22.06,20.0,0.17,0.72
2026-06-01T00:49:00Z,22.17,48.3,0.28,0.87
2026-06-01T00:49:30Z,16.74,20.0,0.8,0.81
2026-06-01T00:50:00Z,26.5,34.8,0.15,0.28
2026-06-01T00:50:30Z,26.84,59.5,0.5,0.12
2026-06-01T00:51:00Z,22.69,60.1,0.3,0.11
2026-06-01T00:51:30Z,19.58,54.7,0.05,0.65
2026-06-01T00:52:00Z,18.9,67.5,0.57,0.88
2026-06-01T00:52:30Z,21.98,44.1,0.71,0.43
2026-06-01T00:53:00Z,18.5,31.9,0.67,0.34
2026-06-01T00:53:30Z,22.13,20.0,0.39,0.5
2026-06-01T00:54:00Z,27.41,36.1,0.02,0.13
2026-06-01T00:54:30Z,18.16,33.1,0.63,0.94
2026-06-01T00:55:00Z,15.57,38.1,0.21,0.56
2026-06-01T00:55:30Z,25.66,35.1,0.09,0.05
2026-06-01T00:56:00Z,20.0,31.5,0.58,0.96
2026-06-01T00:56:30Z,26.64,65.4,0.58,0.33
2026-06-01T00:57:00Z,29.98,35.0,0.07,0.23
2026-06-01T00:57:30Z,33.7,26.3,0.47,0.67
2026-06-01T00:58:00Z,22.87,27.5,0.63,0.36
2026-06-01T00:58:30Z,15.13,23.0,0.73,0.65
2026-06-01T00:59:00Z,25.56,31.4,0.55,0.77
2026-06-01T00:59:30Z,21.89,33.1,0.26,0.37
2026-06-01T01:00:00Z,20.2,54.3,0.6,0.88
2026-06-01T01:00:30Z,24.95,43.3,0.62,0.14
2026-06-01T01:01:00Z,16.66,55.6,0.35,0.73
2026-06-01T01:01:30Z,25.48,42.9,0.31,0.79
2026-06-01T01:02:00Z,25.69,40.4,0.05,0.02
2026-06-01T01:02:30Z,19.47,68.1,0.24,0.66
2026-06-01T01:03:00Z,16.83,20.8,0.2,0.49
2026-06-01T01:03:30Z,24.61,25.6,0.11,0.42
2026-06-01T01:04:00Z,23.21,51.1,0.72,0.02
2026-06-01T01:04:30Z,18.38,48.5,0.53,0.6
2026-06-01T01:05:00Z,17.42,44.1,0.37,0.73
2026-06-01T01:05:30Z,29.93,23.5,0.06,0.94
2026-06-01T01:06:00Z,20.08,40.1,0.77,0.95
2026-06-01T01:06:30Z,16.5,20.0,0.21,0.0
2026-06-01T01:07:00Z,21.71,31.4,0.38,0.64
2026-06-01T01:07:30Z,15.19,60.6,0.41,0.68
2026-06-01T01:08:00Z,19.78,20.0,0.51,0.99
2026-06-01T01:08:30Z,24.66,73.4,0.05,0.08
2026-06-01T01:09:00Z,25.87,52.3,0.17,0.77
2026-06-01T01:09:30Z,24.1,32.9,0.65,0.86
2026-06-01T01:10:00Z,20.42,20.0,0.02,0.89
2026-06-01T01:10:30Z,26.91,20.0,0.21,0.22
2026-06-01T01:11:00Z,22.8,55.9,0.72,0.56
2026-06-01T01:11:30Z,23.77,38.3,0.77,0.31
2026-06-01T01:12:00Z,14.8,40.1,0.64,0.45
2026-06-01T01:12:30Z,20.36,58.2,0.05,0.8
2026-06-01T01:13:00Z,18.5,44.0,0.78,0.15
2026-06-01T01:13:30Z,24.76,32.2,0.55,0.04
2026-06-01T01:14:00Z,20.46,20.0,0.54,0.36
2026-06-01T01:14:30Z,20.27,60.5,0.27,0.63
2026-06-01T01:15:00Z,26.58,38.4,0.06,0.43
2026-06-01T01:15:30Z,25.42,38.0,0.67,0.78
2026-06-01T01:16:00Z,17.54,53.8,0.56,0.42
2026-06-01T01:16:30Z,23.74,20.0,0.25,0.3
2026-06-01T01:17:00Z,20.78,36.9,0.45,0.26
2026-06-01T01:17:30Z,17.7,30.6,0.3,0.73
2026-06-01T01:18:00Z,23.81,49.8,0.07,0.34
2026-06-01T01:18:30Z,20.85,20.0,0.0,0.93
2026-06-01T01:19:00Z,17.92,24.9,0.66,0.52
2026-06-01T01:19:30Z,22.74,26.0,0.31,0.47
2026-06-01T01:20:00Z,17.93,22.9,0.01,0.72
2026-06-01T01:20:30Z,15.67,44.7,0.3,0.26
2026-06-01T01:21:00Z,11.06,47.9,0.2,0.44
2026-06-01T01:21:30Z,26.55,42.9,0.54,0.2
2026-06-01T01:22:00Z,13.97,20.0,0.16,0.66
2026-06-01T01:22:30Z,21.31,51.9,0.27,0.41
2026-06-01T01:23:00Z,21.86,20.0,0.62,0.42
2026-06-01T01:23:30Z,22.14,58.4,0.5,0.98
2026-06-01T01:24:00Z,15.77,20.0,0.58,0.31
2026-06-01T01:24:30Z,23.56,71.0,0.22,0.5
2026-06-01T01:25:00Z,19.94,50.4,0.01,0.12
2026-06-01T01:25:30Z,17.66,26.2,0.43,0.04
2026-06-01T01:26:00Z,26.45,20.0,0.43,0.83
2026-06-01T01:26:30Z,11.68,52.3,0.35,0.16
2026-06-01T01:27:00Z,19.83,73.6,0.46,0.71
2026-06-01T01:27:30Z,21.36,45.2,0.71,0.55
2026-06-01T01:28:00Z,14.45,51.7,0.29,0.5
2026-06-01T01:28:30Z,24.69,20.0,0.53,0.77
2026-06-01T01:29:00Z,11.96,51.7,0.75,0.74
2026-06-01T01:29:30Z,16.55,20.0,0.59,0.96
2026-06-01T01:30:00Z,17.66,24.6,0.19,0.99
2026-06-01T01:30:30Z,21.88,60.2,0.64,0.77
2026-06-01T01:31:00Z,24.03,20.0,0.24,0.71
2026-06-01T01:31:30Z,19.41,20.0,0.37,0.87
2026-06-01T01:32:00Z,26.04,61.5,0.14,0.48
2026-06-01T01:32:30Z,18.26,20.0,0.59,0.27
2026-06-01T01:33:00Z,22.41,71.4,0.65,0.9
2026-06-01T01:33:30Z,15.87,20.6,0.6,0.39
2026-06-01T01:34:00Z,25.74,20.0,0.09,0.98
2026-06-01T01:34:30Z,19.55,60.7,0.05,0.61
2026-06-01T01:35:00Z,22.03,20.0,0.37,0.88
2026-06-01T01:35:30Z,18.86,20.0,0.37,0.82
2026-06-01T01:36:00Z,19.05,39.3,0.16,0.21
2026-06-01T01:36:30Z,19.74,20.0,0.03,0.58
2026-06-01T01:37:00Z,17.73,36.2,0.64,0.95
2026-06-01T01:37:30Z,21.76,65.7,0.69,0.02
2026-06-01T01:38:00Z,21.59,50.1,0.74,0.55
2026-06-01T01:38:30Z,26.62,57.7,0.27,0.34
2026-06-01T01:39:00Z,17.27,54.3,0.25,0.97
2026-06-01T01:39:30Z,17.97,20.0,0.46,0.21
2026-06-01T01:40:00Z,20.38,20.3,0.74,0.64
2026-06-01T01:40:30Z,19.48,62.5,0.1,0.02
2026-06-01T01:41:00Z,17.29,50.3,0.74,0.97
2026-06-01T01:41:30Z,22.6,37.7,0.08,0.7
2026-06-01T01:42:00Z,19.34,45.0,0.34,0.2
2026-06-01T01:42:30Z,15.05,38.4,0.19,0.02
2026-06-01T01:43:00Z,14.95,31.7,0.39,0.26
2026-06-01T01:43:30Z,25.7,30.5,0.29,0.56
2026-06-01T01:44:00Z,20.7,49.6,0.03,0.62
2026-06-01T01:44:30Z,17.57,55.9,0.45,0.36
2026-06-01T01:45:00Z,21.57,26.0,0.44,0.94
2026-06-01T01:45:30Z,19.6,37.2,0.46,0.43
2026-06-01T01:46:00Z,18.22,20.0,0.77,0.64
2026-06-01T01:46:30Z,26.74,20.0,0.05,0.55
2026-06-01T01:47:00Z,21.99,47.3,0.77,0.35
2026-06-01T01:47:30Z,13.93,50.1,0.63,0.34
2026-06-01T01:48:00Z,13.9,28.1,0.52,0.05
2026-06-01T01:48:30Z,17.15,20.0,0.72,0.75
2026-06-01T01:49:00Z,15.92,32.6,0.17,0.9
2026-06-01T01:49:30Z,18.55,26.5,0.2,0.37
2026-06-01T01:50:00Z,23.67,57.2,0.77,0.94
2026-06-01T01:50:30Z,20.4,29.6,0.41,0.46
2026-06-01T01:51:00Z,10.62,30.9,0.78,0.89
2026-06-01T01:51:30Z,13.06,64.9,0.32,0.57
2026-06-01T01:52:00Z,16.05,20.0,0.22,0.66
2026-06-01T01:52:30Z,19.6,20.0,0.18,0.03
2026-06-01T01:53:00Z,22.25,54.6,0.15,0.29
2026-06-01T01:53:30Z,18.87,79.8,0.28,1.0
2026-06-01T01:54:00Z,20.46,32.6,0.29,0.06
2026-06-01T01:54:30Z,18.96,46.1,0.79,0.2
2026-06-01T01:55:00Z,15.88,26.0,0.15,0.2
2026-06-01T01:55:30Z,26.37,55.5,0.08,0.4
2026-06-01T01:56:00Z,24.03,67.4,0.57,0.76
2026-06-01T01:56:30Z,15.46,20.0,0.32,0.64
2026-06-01T01:57:00Z,15.55,55.5,0.02,0.84
2026-06-01T01:57:30Z,20.88,47.7,0.56,0.96
2026-06-01T01:58:00Z,18.99,21.1,0.11,0.65
2026-06-01T01:58:30Z,13.22,20.0,0.71,0.25
2026-06-01T01:59:00Z,18.42,56.8,0.52,0.28
2026-06-01T01:59:30Z,28.59,20.0,0.44,0.41
2026-06-01T02:00:00Z,16.12,63.4,0.78,0.42
2026-06-01T02:00:30Z,19.1,65.4,0.77,0.79
2026-06-01T02:01:00Z,11.6,34.1,0.76,0.23
2026-06-01T02:01:30Z,16.59,71.4,0.41,0.4
2026-06-01T02:02:00Z,26.18,36.6,0.64,0.65
2026-06-01T02:02:30Z,25.36,36.1,0.7,0.59
2026-06-01T02:03:00Z,16.24,43.7,0.28,0.74
2026-06-01T02:03:30Z,16.95,54.8,0.1,0.1
2026-06-01T02:04:00Z,20.46,52.6,0.24,0.36
2026-06-01T02:04:30Z,17.91,33.3,0.53,0.01
2026-06-01T02:05:00Z,28.08,20.0,0.66,0.79
2026-06-01T02:05:30Z,21.07,34.5,0.5,0.07
2026-06-01T02:06:00Z,20.68,44.2,0.6,0.12
2026-06-01T02:06:30Z,18.43,58.5,0.65,0.42
2026-06-01T02:07:00Z,15.22,48.4,0.72,0.45
2026-06-01T02:07:30Z,19.67,20.0,0.12,0.3
2026-06-01T02:08:00Z,20.39,32.1,0.34,0.06
2026-06-01T02:08:30Z,14.96,28.2,0.37,0.5
2026-06-01T02:09:00Z,19.54,28.8,0.31,0.57
2026-06-01T02:09:30Z,25.55,47.2,0.77,0.75
2026-06-01T02:10:00Z,15.92,38.3,0.02,0.87
2026-06-01T02:10:30Z,23.62,41.8,0.36,0.89
2026-06-01T02:11:00Z,15.93,20.0,0.73,0.02
2026-06-01T02:11:30Z,16.93,53.8,0.3,0.65
2026-06-01T02:12:00Z,20.56,68.8,0.32,0.06
2026-06-01T02:12:30Z,15.7,54.8,0.34,0.86
2026-06-01T02:13:00Z,23.68,43.5,0.54,0.61
2026-06-01T02:13:30Z,21.22,40.2,0.76,0.95
2026-06-01T02:14:00Z,14.2,81.7,0.49,0.03
2026-06-01T02:14:30Z,19.87,20.0,0.22,0.67
2026-06-01T02:15:00Z,13.97,43.9,0.52,0.57
2026-06-01T02:15:30Z,29.04,33.6,0.11,0.92
2026-06-01T02:16:00Z,16.88,84.7,0.61,0.07
2026-06-01T02:16:30Z,16.51,24.1,0.68,0.37
2026-06-01T02:17:00Z,19.84,58.8,0.78,0.93
2026-06-01T02:17:30Z,18.85,38.2,0.25,0.1
2026-06-01T02:18:00Z,18.09,20.0,0.7,0.0
2026-06-01T02:18:30Z,11.92,47.2,0.77,0.0
2026-06-01T02:19:00Z,20.27,78.3,0.51,0.38
2026-06-01T02:19:30Z,20.88,20.0,0.79,0.7
2026-06-01T02:20:00Z,9.66,35.7,0.16,0.2
2026-06-01T02:20:30Z,19.03,51.7,0.21,0.92
2026-06-01T02:21:00Z,19.34,70.8,0.13,0.5
2026-06-01T02:21:30Z,19.38,22.2,0.05,0.98
2026-06-01T02:22:00Z,16.08,48.1,0.11,0.26
2026-06-01T02:22:30Z,25.87,30.3,0.16,0.25
2026-06-01T02:23:00Z,23.39,57.1,0.63,0.88
2026-06-01T02:23:30Z,18.43,52.2,0.2,0.19
2026-06-01T02:24:00Z,24.47,46.5,0.54,0.02
2026-06-01T02:24:30Z,15.82,53.2,0.33,0.98
2026-06-01T02:25:00Z,17.51,44.2,0.13,0.29
2026-06-01T02:25:30Z,20.6,29.4,0.31,0.75
2026-06-01T02:26:00Z,12.49,20.0,0.6,0.49
2026-06-01T02:26:30Z,22.78,47.2,0.43,0.62
2026-06-01T02:27:00Z,13.41,32.9,0.11,0.57
2026-06-01T02:27:30Z,15.3,30.1,0.28,0.48
2026-06-01T02:28:00Z,24.51,20.0,0.65,0.98
2026-06-01T02:28:30Z,14.13,33.9,0.25,0.79
2026-06-01T02:29:00Z,24.81,20.0,0.74,0.58
2026-06-01T02:29:30Z,19.11,40.2,0.08,0.52
2026-06-01T02:30:00Z,17.02,20.0,0.41,0.87
2026-06-01T02:30:30Z,22.11,45.7,0.11,0.67
2026-06-01T02:31:00Z,18.7,31.8,0.79,0.92
2026-06-01T02:31:30Z,20.82,34.3,0.55,0.52
2026-06-01T02:32:00Z,18.45,66.5,0.17,0.29
2026-06-01T02:32:30Z,23.88,45.5,0.61,0.73
2026-06-01T02:33:00Z,12.39,34.8,0.54,0.43
2026-06-01T02:33:30Z,11.87,51.6,0.41,0.71
2026-06-01T02:34:00Z,13.5,36.6,0.6,0.42
2026-06-01T02:34:30Z,20.32,50.5,0.14,0.67
2026-06-01T02:35:00Z,22.14,20.0,0.17,0.86
2026-06-01T02:35:30Z,10.2,61.7,0.23,0.01
2026-06-01T02:36:00Z,21.59,20.0,0.36,0.06
2026-06-01T02:36:30Z,16.92,20.7,0.77,0.14
2026-06-01T02:37:00Z,13.74,59.4,0.73,0.59
2026-06-01T02:37:30Z,17.34,71.9,0.71,0.04
2026-06-01T02:38:00Z,22.97,22.8,0.72,0.76
2026-06-01T02:38:30Z,20.47,29.5,0.08,0.9
2026-06-01T02:39:00Z,15.45,20.0,0.18,0.62
2026-06-01T02:39:30Z,19.82,20.0,0.63,0.11
2026-06-01T02:40:00Z,16.68,51.6,0.62,0.74
2026-06-01T02:40:30Z,29.34,41.9,0.13,0.35
2026-06-01T02:41:00Z,21.81,48.5,0.11,0.07
2026-06-01T02:41:30Z,25.35,28.4,0.51,0.72
2026-06-01T02:42:00Z,22.56,34.8,0.32,0.95
2026-06-01T02:42:30Z,18.04,40.8,0.25,0.09
2026-06-01T02:43:00Z,14.2,33.5,0.56,0.93
2026-06-01T02:43:30Z,16.93,39.5,0.35,0.78
2026-06-01T02:44:00Z,21.88,30.8,0.31,0.44
2026-06-01T02:44:30Z,16.62,26.7,0.19,0.89
2026-06-01T02:45:00Z,19.11,27.3,0.18,0.05
2026-06-01T02:45:30Z,20.52,53.4,0.24,0.2
2026-06-01T02:46:00Z,23.24,59.0,0.04,0.9
2026-06-01T02:46:30Z,18.96,37.9,0.71,0.32
2026-06-01T02:47:00Z,22.47,29.9,0.0,0.98
2026-06-01T02:47:30Z,18.4,41.5,0.17,0.93
2026-06-01T02:48:00Z,13.65,62.0,0.48,0.85
2026-06-01T02:48:30Z,22.2,58.5,0.58,0.52
2026-06-01T02:49:00Z,21.54,20.0,0.02,0.08
2026-06-01T02:49:30Z,18.01,20.0,0.62,0.54
2026-06-01T02:50:00Z,22.44,32.5,0.78,0.81
2026-06-01T02:50:30Z,17.94,66.8,0.51,0.12
2026-06-01T02:51:00Z,8.98,39.6,0.56,0.91
2026-06-01T02:51:30Z,11.87,27.0,0.01,0.22
2026-06-01T02:52:00Z,16.21,49.6,0.54,0.0
2026-06-01T02:52:30Z,17.88,50.6,0.03,0.42
2026-06-01T02:53:00Z,19.43,54.4,0.64,0.33
2026-06-01T02:53:30Z,12.56,23.6,0.11,0.6
2026-06-01T02:54:00Z,22.74,20.0,0.0,0.03
2026-06-01T02:54:30Z,14.48,63.8,0.48,0.18
2026-06-01T02:55:00Z,24.84,65.6,0.42,0.9
2026-06-01T02:55:30Z,15.15,59.1,0.15,0.13
2026-06-01T02:56:00Z,13.93,37.8,0.53,0.66
2026-06-01T02:56:30Z,21.18,61.2,0.64,0.24
2026-06-01T02:57:00Z,15.66,54.2,0.44,0.81
2026-06-01T02:57:30Z,14.68,56.1,0.28,0.05
2026-06-01T02:58:00Z,24.04,73.8,0.68,0.43
2026-06-01T02:58:30Z,6.59,20.0,0.03,0.72
2026-06-01T02:59:00Z,14.44,22.0,0.29,0.59
2026-06-01T02:59:30Z,14.97,78.9,0.41,0.38
2026-06-01T03:00:00Z,20.75,69.8,0.69,0.37
2026-06-01T03:00:30Z,12.45,49.5,0.7,0.66
2026-06-01T03:01:00Z,25.6,37.9,0.58,0.71
2026-06-01T03:01:30Z,11.79,37.4,0.33,0.8
2026-06-01T03:02:00Z,16.36,51.6,0.46,0.92
2026-06-01T03:02:30Z,19.34,49.3,0.45,1.0
2026-06-01T03:03:00Z,17.27,68.5,0.51,0.73
2026-06-01T03:03:30Z,16.95,22.6,0.69,0.37
2026-06-01T03:04:00Z,19.39,55.5,0.61,0.73
2026-06-01T03:04:30Z,18.4,47.1,0.28,0.67
2026-06-01T03:05:00Z,18.22,27.4,0.49,0.17
2026-06-01T03:05:30Z,21.15,34.1,0.37,0.48
2026-06-01T03:06:00Z,18.33,48.1,0.61,0.96
2026-06-01T03:06:30Z,17.07,20.0,0.07,0.05
2026-06-01T03:07:00Z,19.17,40.1,0.59,0.32
2026-06-01T03:07:30Z,11.58,41.1,0.4,0.59
2026-06-01T03:08:00Z,26.16,42.3,0.47,0.89
2026-06-01T03:08:30Z,20.73,29.4,0.33,0.72
2026-06-01T03:09:00Z,18.02,42.9,0.35,0.11
2026-06-01T03:09:30Z,18.26,25.4,0.06,0.45
2026-06-01T03:10:00Z,16.16,27.3,0.18,0.92
2026-06-01T03:10:30Z,20.77,41.1,0.28,0.14
2026-06-01T03:11:00Z,16.58,25.1,0.0,0.86
2026-06-01T03:11:30Z,26.01,54.6,0.6,0.06
2026-06-01T03:12:00Z,20.79,46.1,0.39,0.2
2026-06-01T03:12:30Z,17.62,56.0,0.1,0.9
2026-06-01T03:13:00Z,20.25,50.8,0.49,0.59
2026-06-01T03:13:30Z,15.65,34.1,0.37,0.62
2026-06-01T03:14:00Z,12.91,40.6,0.35,0.71
2026-06-01T03:14:30Z,21.74,35.1,0.37,0.24
2026-06-01T03:15:00Z,19.31,20.0,0.23,0.24
2026-06-01T03:15:30Z,22.61,55.6,0.79,0.6
2026-06-01T03:16:00Z,26.01,51.1,0.57,0.27
2026-06-01T03:16:30Z,23.1,84.1,0.17,0.73
2026-06-01T03:17:00Z,16.79,20.0,0.79,0.63
2026-06-01T03:17:30Z,21.85,20.0,0.23,0.91
2026-06-01T03:18:00Z,15.18,42.9,0.64,0.89
2026-06-01T03:18:30Z,14.06,20.0,0.57,0.12
2026-06-01T03:19:00Z,15.6,42.9,0.36,0.62
2026-06-01T03:19:30Z,15.96,20.0,0.55,0.45
2026-06-01T03:20:00Z,16.77,48.5,0.34,0.04
2026-06-01T03:20:30Z,28.68,25.6,0.2,0.24
2026-06-01T03:21:00Z,19.88,31.8,0.51,0.65
2026-06-01T03:21:30Z,21.34,52.2,0.49,0.18
2026-06-01T03:22:00Z,17.68,74.5,0.45,0.98
2026-06-01T03:22:30Z,13.06,53.8,0.32,0.04
2026-06-01T03:23:00Z,20.94,78.8,0.37,0.99
2026-06-01T03:23:30Z,23.49,32.7,0.07,0.83
2026-06-01T03:24:00Z,21.62,44.5,0.18,0.26
2026-06-01T03:24:30Z,11.08,20.0,0.66,0.29
2026-06-01T03:25:00Z,17.23,45.6,0.44,1.0
2026-06-01T03:25:30Z,18.09,66.7,0.78,0.06
2026-06-01T03:26:00Z,14.47,50.8,0.47,0.44
2026-06-01T03:26:30Z,24.22,21.1,0.44,0.72
2026-06-01T03:27:00Z,15.38,39.1,0.66,0.17
2026-06-01T03:27:30Z,24.34,39.2,0.24,0.74
2026-06-01T03:28:00Z,13.88,61.5,0.61,0.01
2026-06-01T03:28:30Z,15.64,80.5,0.74,0.44
2026-06-01T03:29:00Z,20.2,32.4,0.42,0.09
2026-06-01T03:29:30Z,12.51,22.3,0.26,0.18
2026-06-01T03:30:00Z,15.06,56.7,0.46,0.01
2026-06-01T03:30:30Z,16.88,56.1,0.28,0.06
2026-06-01T03:31:00Z,20.87,36.3,0.07,0.31
2026-06-01T03:31:30Z,27.02,79.7,0.62,0.98
2026-06-01T03:32:00Z,19.5,61.6,0.16,0.17
2026-06-01T03:32:30Z,15.48,20.0,0.16,0.31
2026-06-01T03:33:00Z,25.88,58.8,0.7,0.11
2026-06-01T03:33:30Z,17.28,23.6,0.76,0.85
2026-06-01T03:34:00Z,16.94,36.5,0.73,0.42
2026-06-01T03:34:30Z,20.69,68.7,0.38,0.11
2026-06-01T03:35:00Z,17.41,55.1,0.26,0.33
2026-06-01T03:35:30Z,18.64,56.7,0.02,0.21
2026-06-01T03:36:00Z,20.8,20.0,0.74,0.88
2026-06-01T03:36:30Z,17.75,70.0,0.07,0.15
2026-06-01T03:37:00Z,16.85,77.0,0.75,0.58
2026-06-01T03:37:30Z,9.32,26.6,0.54,0.76
2026-06-01T03:38:00Z,18.35,25.1,0.01,0.64
2026-06-01T03:38:30Z,21.34,32.3,0.29,0.53
2026-06-01T03:39:00Z,18.6,38.5,0.3,0.89
2026-06-01T03:39:30Z,28.22,36.9,0.02,0.21
2026-06-01T03:40:00Z,19.28,68.5,0.76,0.96
2026-06-01T03:40:30Z,21.22,62.7,0.64,0.47
2026-06-01T03:41:00Z,16.46,72.8,0.72,0.55
2026-06-01T03:41:30Z,14.96,75.3,0.69,0.69
2026-06-01T03:42:00Z,23.83,59.3,0.04,0.76
2026-06-01T03:42:30Z,15.99,84.7,0.27,0.73
2026-06-01T03:43:00Z,19.96,48.8,0.43,0.15
2026-06-01T03:43:30Z,20.19,44.0,0.04,0.72
